Input,Output
Could you Inject the Mood swings for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Burning
Will I recover from Burning,Shortness
Will I recover from Burning Shortness,of
Will I recover from Burning Shortness of,breath?
I,have
I have,a
I have a,Dull
I have a Dull,Swelling.
They,should
They should,Support
They should Support,the
They should Support the,Mood
They should Support the Mood,swings.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Relieved
"Help me, I feel Relieved",Light
"Help me, I feel Relieved Light",sensitivity.
I,have
I have,a
I have a,Continuous
I have a Continuous,Light
I have a Continuous Light,sensitivity.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Crippling
"Help me, I feel Crippling",Weakness.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Disruptive
"Help me, I feel Disruptive",Back
"Help me, I feel Disruptive Back",pain.
We,need
We need,to
We need to,Refer
We need to Refer,the
We need to Refer the,Reception.
We,need
We need,to
We need to,Support
We need to Support,the
We need to Support the,Billing
We need to Support the Billing,counter.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Slight
Will I recover from Slight,Shortness
Will I recover from Slight Shortness,of
Will I recover from Slight Shortness of,breath?
Could,you
Could you,Bandage
Could you Bandage,the
Could you Bandage the,Light
Could you Bandage the Light,sensitivity
Could you Bandage the Light sensitivity,for
Could you Bandage the Light sensitivity for,me?
They,should
They should,Check
They should Check,the
They should Check the,Memory
They should Check the Memory,loss.
We,need
We need,to
We need to,Sedate
We need to Sedate,the
We need to Sedate the,Orthopedic
We need to Sedate the Orthopedic,ward.
They,should
They should,Prescribe
They should Prescribe,the
They should Prescribe the,Unexplained
They should Prescribe the Unexplained,weight
They should Prescribe the Unexplained weight,loss.
You,might
You might,be
You might be,experiencing
You might be experiencing,Burning
You might be experiencing Burning,Unexplained
You might be experiencing Burning Unexplained,weight
You might be experiencing Burning Unexplained weight,gain.
You,might
You might,be
You might be,experiencing
You might be experiencing,Moderate
You might be experiencing Moderate,Back
You might be experiencing Moderate Back,pain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Throbbing
"Help me, I feel Throbbing",Light
"Help me, I feel Throbbing Light",sensitivity.
You,might
You might,be
You might be,experiencing
You might be experiencing,Overwhelming
You might be experiencing Overwhelming,Dark-colored
You might be experiencing Overwhelming Dark-colored,urine.
We,need
We need,to
We need to,Explain
We need to Explain,the
We need to Explain the,Respiratory
We need to Explain the Respiratory,therapy
We need to Explain the Respiratory therapy,room.
We,need
We need,to
We need to,Admit
We need to Admit,the
We need to Admit the,Surgical
We need to Admit the Surgical,ward.
I,have
I have,a
I have a,Persistent
I have a Persistent,Palpitations.
We,need
We need,to
We need to,Intubate
We need to Intubate,the
We need to Intubate the,Neonatal
We need to Intubate the Neonatal,ICU.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Sharp
Will I recover from Sharp,Burning
Will I recover from Sharp Burning,sensation?
We,need
We need,to
We need to,Adjust
We need to Adjust,the
We need to Adjust the,Surgical
We need to Adjust the Surgical,ward.
They,should
They should,Consult
They should Consult,the
They should Consult the,Dizziness.
We,need
We need,to
We need to,Record
We need to Record,the
We need to Record the,Laboratory.
Can,you
Can you,Treat
Can you Treat,me
Can you Treat me,with
Can you Treat me with,my
Can you Treat me with my,Anxiety?
I,have
I have,a
I have a,Life-threatening
I have a Life-threatening,Unexplained
I have a Life-threatening Unexplained,weight
I have a Life-threatening Unexplained weight,gain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Gradual
"Help me, I feel Gradual",Hoarseness.
You,might
You might,be
You might be,experiencing
You might be experiencing,Sharp
You might be experiencing Sharp,Numbness.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Chronic
Will I recover from Chronic,Blood
Will I recover from Chronic Blood,in
Will I recover from Chronic Blood in,stool?
Could,you
Could you,Explain
Could you Explain,the
Could you Explain the,Sweating
Could you Explain the Sweating,for
Could you Explain the Sweating for,me?
They,should
They should,Inspect
They should Inspect,the
They should Inspect the,Blood
They should Inspect the Blood,in
They should Inspect the Blood in,stool.
I,have
I have,a
I have a,Suddenly
I have a Suddenly,worsening
I have a Suddenly worsening,Anxiety.
You,might
You might,be
You might be,experiencing
You might be experiencing,Mildly
You might be experiencing Mildly,irritating
You might be experiencing Mildly irritating,Itching.
Can,you
Can you,Diagnose
Can you Diagnose,me
Can you Diagnose me,with
Can you Diagnose me with,my
Can you Diagnose me with my,Dry
Can you Diagnose me with my Dry,mouth?
Can,you
Can you,Educate
Can you Educate,me
Can you Educate me,with
Can you Educate me with,my
Can you Educate me with my,Frequent
Can you Educate me with my Frequent,urination?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Moderate
"Help me, I feel Moderate",Mood
"Help me, I feel Moderate Mood",swings.
They,should
They should,Rehabilitate
They should Rehabilitate,the
They should Rehabilitate the,Palpitations.
You,might
You might,be
You might be,experiencing
You might be experiencing,Life-threatening
You might be experiencing Life-threatening,Joint
You might be experiencing Life-threatening Joint,pain.
You,might
You might,be
You might be,experiencing
You might be experiencing,Urgent
You might be experiencing Urgent,Dizziness.
They,should
They should,Perform
They should Perform,the
They should Perform the,Frequent
They should Perform the Frequent,urination.
Could,you
Could you,Diagnose
Could you Diagnose,the
Could you Diagnose the,Ear
Could you Diagnose the Ear,pain
Could you Diagnose the Ear pain,for
Could you Diagnose the Ear pain for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Slight
Will I recover from Slight,Blurred
Will I recover from Slight Blurred,vision?
We,need
We need,to
We need to,Inject
We need to Inject,the
We need to Inject the,Billing
We need to Inject the Billing,counter.
They,should
They should,Adjust
They should Adjust,the
They should Adjust the,Dry
They should Adjust the Dry,mouth.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Lingering
Will I recover from Lingering,Skin
Will I recover from Lingering Skin,rash?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Pressing
"Help me, I feel Pressing",Ear
"Help me, I feel Pressing Ear",pain.
Can,you
Can you,Diagnose
Can you Diagnose,me
Can you Diagnose me,with
Can you Diagnose me with,my
Can you Diagnose me with my,Frequent
Can you Diagnose me with my Frequent,urination?
We,need
We need,to
We need to,See
We need to See,the
We need to See the,Maternity
We need to See the Maternity,ward.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Continuous
"Help me, I feel Continuous",Swelling.
They,should
They should,Admit
They should Admit,the
They should Admit the,Skin
They should Admit the Skin,rash.
We,need
We need,to
We need to,Rehabilitate
We need to Rehabilitate,the
We need to Rehabilitate the,Radiology.
Could,you
Could you,Explain
Could you Explain,the
Could you Explain the,Tingling
Could you Explain the Tingling,sensation
Could you Explain the Tingling sensation,for
Could you Explain the Tingling sensation for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Throbbing
"Help me, I feel Throbbing",Anxiety.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Persistent
Will I recover from Persistent,Chills?
I,have
I have,a
I have a,Burning
I have a Burning,Confusion.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Episodic
"Help me, I feel Episodic",Difficulty
"Help me, I feel Episodic Difficulty",swallowing.
Could,you
Could you,Rehabilitate
Could you Rehabilitate,the
Could you Rehabilitate the,Back
Could you Rehabilitate the Back,pain
Could you Rehabilitate the Back pain,for
Could you Rehabilitate the Back pain for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Crippling
"Help me, I feel Crippling",Memory
"Help me, I feel Crippling Memory",loss.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Progressive
Will I recover from Progressive,Depression?
They,should
They should,Transport
They should Transport,the
They should Transport the,Fatigue.
I,have
I have,a
I have a,Overwhelming
I have a Overwhelming,Fatigue.
I,have
I have,a
I have a,Tolerable
I have a Tolerable,Fatigue.
I,have
I have,a
I have a,Throbbing
I have a Throbbing,Unexplained
I have a Throbbing Unexplained,weight
I have a Throbbing Unexplained weight,gain.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Mildly
Will I recover from Mildly,irritating
Will I recover from Mildly irritating,Sore
Will I recover from Mildly irritating Sore,throat?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Faint
"Help me, I feel Faint",Back
"Help me, I feel Faint Back",pain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Progressive
"Help me, I feel Progressive",Runny
"Help me, I feel Progressive Runny",nose.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Moderate
Will I recover from Moderate,Neck
Will I recover from Moderate Neck,pain?
I,have
I have,a
I have a,Sudden
I have a Sudden,Fatigue.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Moderate
Will I recover from Moderate,Dark-colored
Will I recover from Moderate Dark-colored,urine?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Unusual
Will I recover from Unusual,Unexplained
Will I recover from Unusual Unexplained,weight
Will I recover from Unusual Unexplained weight,loss?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Bearable
"Help me, I feel Bearable",Palpitations.
Can,you
Can you,Perform
Can you Perform,me
Can you Perform me,with
Can you Perform me with,my
Can you Perform me with my,Palpitations?
Can,you
Can you,Test
Can you Test,me
Can you Test me,with
Can you Test me with,my
Can you Test me with my,Hallucinations?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Acute
Will I recover from Acute,Frequent
Will I recover from Acute Frequent,urination?
You,might
You might,be
You might be,experiencing
You might be experiencing,Unpredictable
You might be experiencing Unpredictable,Itching.
You,might
You might,be
You might be,experiencing
You might be experiencing,Disruptive
You might be experiencing Disruptive,Joint
You might be experiencing Disruptive Joint,pain.
I,have
I have,a
I have a,Excruciating
I have a Excruciating,Anxiety.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Bearable
Will I recover from Bearable,Numbness?
You,might
You might,be
You might be,experiencing
You might be experiencing,Dull
You might be experiencing Dull,Dark-colored
You might be experiencing Dull Dark-colored,urine.
Could,you
Could you,Prescribe
Could you Prescribe,the
Could you Prescribe the,Tingling
Could you Prescribe the Tingling,sensation
Could you Prescribe the Tingling sensation,for
Could you Prescribe the Tingling sensation for,me?
We,need
We need,to
We need to,Find
We need to Find,the
We need to Find the,Blood
We need to Find the Blood,bank.
I,have
I have,a
I have a,Worsening
I have a Worsening,Itching.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Severe
"Help me, I feel Severe",Blurred
"Help me, I feel Severe Blurred",vision.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Severe
Will I recover from Severe,Hallucinations?
Can,you
Can you,Assist
Can you Assist,me
Can you Assist me,with
Can you Assist me with,my
Can you Assist me with my,Burning
Can you Assist me with my Burning,sensation?
Can,you
Can you,Vaccinate
Can you Vaccinate,me
Can you Vaccinate me,with
Can you Vaccinate me with,my
Can you Vaccinate me with my,Vomiting?
Can,you
Can you,Transport
Can you Transport,me
Can you Transport me,with
Can you Transport me with,my
Can you Transport me with my,Palpitations?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Developing
Will I recover from Developing,Itching?
You,might
You might,be
You might be,experiencing
You might be experiencing,Mildly
You might be experiencing Mildly,irritating
You might be experiencing Mildly irritating,Dizziness.
You,might
You might,be
You might be,experiencing
You might be experiencing,Chronic
You might be experiencing Chronic,Light
You might be experiencing Chronic Light,sensitivity.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Severe
Will I recover from Severe,Mood
Will I recover from Severe Mood,swings?
You,might
You might,be
You might be,experiencing
You might be experiencing,Worsening
You might be experiencing Worsening,Loss
You might be experiencing Worsening Loss,of
You might be experiencing Worsening Loss of,taste
You might be experiencing Worsening Loss of taste,or
You might be experiencing Worsening Loss of taste or,smell.
They,should
They should,Clean
They should Clean,the
They should Clean the,Chills.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Chronic
